#multi:
;Hantel A;;;;;;;Hantel B;;;;;;;Masse C;;;;;;;
t;x;y;vx;vy;px;py;K;x;y;vx;vy;px;py;K;x;y;vx;vy;px;py;K;
0,433;-5,776E-2;0,134;-0,267;0,115;-4,973E-3;2,131E-3;7,868E-4;-1,222E-3;0,110;9,618E-2;0,899;1,789E-3;1,672E-2;7,603E-3;5,873E-2;-1,591E-2;0,133;2,798E-2;2,455E-3;5,154E-4;1,708E-4
0,450;-6,006E-2;0,135;-0,117;5,411E-2;-2,167E-3;1,006E-3;1,535E-4;-9,754E-4;0,120;5,355E-3;0,613;9,960E-5;1,140E-2;3,497E-3;6,025E-2;-1,580E-2;9,380E-2;1,333E-2;1,728E-3;2,456E-4;8,266E-5
0,467;-6,165E-2;0,136;-7,683E-2;7,159E-2;-1,429E-3;1,332E-3;1,026E-4;-1,044E-3;0,130;-8,371E-2;0,929;-1,557E-3;1,727E-2;8,085E-3;6,186E-2;-1,546E-2;0,140;3,380E-2;2,580E-3;6,226E-4;1,912E-4
0,483;-6,262E-2;0,137;-1,156E-2;7,593E-2;-2,150E-4;1,412E-3;5,486E-5;-3,766E-3;0,151;-0,149;0,930;-2,775E-3;1,730E-2;8,252E-3;6,492E-2;-1,467E-2;0,137;3,207E-2;2,530E-3;5,907E-4;1,832E-4
0,500;-6,203E-2;0,138;5,457E-2;6,520E-2;1,015E-3;1,213E-3;6,723E-5;-6,016E-3;0,161;-0,159;0,595;-2,953E-3;1,106E-2;3,521E-3;6,643E-2;-1,439E-2;9,201E-2;1,504E-2;1,695E-3;2,771E-4;8,005E-5
0,517;-6,080E-2;0,139;0,166;0,150;3,092E-3;2,785E-3;4,655E-4;-9,057E-3;0,171;-0,328;0,851;-6,102E-3;1,584E-2;7,743E-3;6,799E-2;-1,417E-2;0,134;2,893E-2;2,471E-3;5,329E-4;1,734E-4
0,533;-5,649E-2;0,143;0,210;0,194;3,910E-3;3,616E-3;7,626E-4;-1,695E-2;0,190;-0,373;0,818;-6,941E-3;1,521E-2;7,512E-3;7,091E-2;-1,343E-2;0,131;2,759E-2;2,411E-3;5,082E-4;1,648E-4
0,550;-5,379E-2;0,146;0,183;0,177;3,409E-3;3,300E-3;6,052E-4;-2,150E-2;0,198;-0,286;0,489;-5,315E-3;9,090E-3;2,980E-3;7,235E-2;-1,325E-2;8,816E-2;1,805E-2;1,624E-3;3,324E-4;7,457E-5
0,567;-5,038E-2;0,149;0,323;0,353;6,015E-3;6,559E-3;2,129E-3;-2,648E-2;0,206;-0,480;0,647;-8,932E-3;1,204E-2;6,038E-3;7,384E-2;-1,283E-2;0,139;2,391E-2;2,561E-3;4,403E-4;1,833E-4
0,583;-4,301E-2;0,158;0,340;0,415;6,317E-3;7,725E-3;2,677E-3;-3,750E-2;0,220;-0,508;0,592;-9,452E-3;1,101E-2;5,659E-3;7,699E-2;-1,245E-2;0,135;2,387E-2;2,482E-3;4,397E-4;1,725E-4
0,600;-3,906E-2;0,163;0,234;0,342;4,352E-3;6,353E-3;1,594E-3;-4,342E-2;0,226;-0,347;0,329;-6,451E-3;6,123E-3;2,127E-3;7,834E-2;-1,203E-2;8,382E-2;1,892E-2;1,544E-3;3,484E-4;6,801E-5
0,617;-3,521E-2;0,169;0,335;0,612;6,238E-3;1,138E-2;4,527E-3;-4,906E-2;0,231;-0,494;0,391;-9,191E-3;7,277E-3;3,694E-3;7,978E-2;-1,182E-2;0,124;2,694E-2;2,287E-3;4,962E-4;1,486E-4
0,633;-2,788E-2;0,183;0,312;0,677;5,800E-3;1,259E-2;5,165E-3;-5,989E-2;0,239;-0,471;0,327;-8,759E-3;6,090E-3;3,059E-3;8,247E-2;-1,113E-2;0,124;2,443E-2;2,283E-3;4,501E-4;1,470E-4
0,650;-2,482E-2;0,192;0,175;0,511;3,247E-3;9,498E-3;2,709E-3;-6,476E-2;0,242;-0,284;0,168;-5,288E-3;3,127E-3;1,015E-3;8,391E-2;-1,101E-2;9,184E-2;1,073E-2;1,692E-3;1,977E-4;7,875E-5
0,667;-2,206E-2;0,200;0,199;0,830;3,697E-3;1,543E-2;6,768E-3;-6,936E-2;0,244;-0,357;0,183;-6,646E-3;3,410E-3;1,500E-3;8,554E-2;-1,078E-2;0,132;2,739E-2;2,437E-3;5,046E-4;1,682E-4
0,683;-1,819E-2;0,219;0,143;0,866;2,655E-3;1,610E-2;7,160E-3;-7,667E-2;0,248;-0,312;0,140;-5,805E-3;2,607E-3;1,089E-3;8,832E-2;-1,009E-2;0,126;2,670E-2;2,325E-3;4,919E-4;1,533E-4
0,700;-1,730E-2;0,229;3,279E-2;0,605;6,098E-4;1,126E-2;3,416E-3;-7,977E-2;0,249;-0,153;5,910E-2;-2,842E-3;1,099E-3;2,495E-4;8,974E-2;-9,887E-3;8,367E-2;1,389E-2;1,541E-3;2,559E-4;6,626E-5
0,717;-1,710E-2;0,239;-4,387E-2;0,926;-8,160E-4;1,723E-2;7,996E-3;-8,176E-2;0,250;-0,132;7,208E-2;-2,464E-3;1,341E-3;2,115E-4;9,111E-2;-9,631E-3;0,124;1,905E-2;2,279E-3;3,509E-4;1,444E-4
0,733;-1,877E-2;0,260;;;;;;-8,418E-2;0,251;;;;;;9,387E-2;-9,252E-3;;;;;
