#multi:
;Masse B;;;;;;;;;;Masse A;;;;;;;;;;
t;x;y;r;vx;vy;v;px;py;p;K;x;y;r;vx;vy;v;px;py;p;K;
0,550;-0,261;-5,682E-2;0,267;-1,164;-0,262;1,193;-2,149E-2;-4,830E-3;2,202E-2;1,314E-2;6,139E-3;9,428E-2;9,448E-2;-0,142;0,357;0,384;-2,623E-3;6,574E-3;7,078E-3;1,360E-3
0,567;-0,280;-6,120E-2;0,287;-1,743;-0,393;1,787;-3,218E-2;-7,252E-3;3,299E-2;2,947E-2;3,906E-3;0,100;0,100;-0,209;0,535;0,575;-3,844E-3;9,862E-3;1,059E-2;3,041E-3
0,583;-0,319;-6,991E-2;0,327;-1,748;-0,386;1,790;-3,227E-2;-7,130E-3;3,305E-2;2,958E-2;-8,179E-4;0,112;0,112;-0,215;0,536;0,577;-3,960E-3;9,867E-3;1,063E-2;3,068E-3
0,600;-0,339;-7,408E-2;0,347;-1,175;-0,264;1,204;-2,169E-2;-4,869E-3;2,223E-2;1,338E-2;-3,260E-3;0,118;0,118;-0,141;0,358;0,385;-2,606E-3;6,595E-3;7,091E-3;1,365E-3
0,617;-0,358;-7,871E-2;0,367;-1,508;-0,258;1,530;-2,784E-2;-4,758E-3;2,824E-2;2,161E-2;-5,534E-3;0,124;0,124;-0,223;0,527;0,572;-4,106E-3;9,704E-3;1,054E-2;3,014E-3
0,633;-0,389;-8,267E-2;0,397;-0,598;0,244;0,646;-1,104E-2;4,498E-3;1,192E-2;3,851E-3;-1,069E-2;0,136;0,136;-0,228;0,528;0,575;-4,191E-3;9,718E-3;1,058E-2;3,040E-3
0,650;-0,378;-7,058E-2;0,385;0,672;0,774;1,025;1,241E-2;1,428E-2;1,892E-2;9,696E-3;-1,312E-2;0,142;0,142;-0,141;0,358;0,384;-2,589E-3;6,587E-3;7,078E-3;1,360E-3
0,667;-0,366;-5,688E-2;0,371;0,718;0,818;1,088;1,326E-2;1,509E-2;2,009E-2;1,093E-2;-1,538E-2;0,148;0,148;-0,148;0,352;0,382;-2,730E-3;6,489E-3;7,040E-3;1,345E-3
0,683;-0,354;-4,333E-2;0,357;1,104;1,240;1,660;2,038E-2;2,288E-2;3,064E-2;2,544E-2;-1,806E-2;0,153;0,154;-0,219;0,527;0,571;-4,036E-3;9,707E-3;1,051E-2;3,000E-3
0,700;-0,330;-1,556E-2;0,330;1,096;1,244;1,658;2,023E-2;2,296E-2;3,060E-2;2,536E-2;-2,268E-2;0,165;0,167;-0,216;0,533;0,576;-3,979E-3;9,827E-3;1,060E-2;3,051E-3
0,717;-0,318;-1,870E-3;0,318;;;;;;;;-2,526E-2;0,171;0,173;;;;;;;
