Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
16.204	2.3876953125	2.763671875
16.206004	3.18359375	2.8125
16.208	1.4599609375	1.5087890625
16.210004	2.861328125	3.115234375
16.211996	2.8076171875	2.3974609375
16.213996	1.4697265625	1.7041015625
16.215996	3.2177734375	3.2958984375
16.217996	2.34375	1.962890625
16.219996	1.708984375	2.0556640625
16.221996	3.388671875	3.2666015625
16.223996	1.8798828125	1.6357421875
16.226004	2.1435546875	2.5146484375
16.228	3.3154296875	3.02734375
16.230004	1.5478515625	1.4990234375
16.232	2.6220703125	2.939453125
16.234004	3.0126953125	2.6171875
16.236	1.4404296875	1.591796875
16.238004	3.076171875	3.2373046875
16.24	2.55859375	2.158203125
16.242004	1.58203125	1.8896484375
16.244	3.33984375	3.3056640625
16.246004	2.05078125	1.748046875
16.248	1.9384765625	2.333984375
16.250004	3.3740234375	3.134765625
16.252	1.6455078125	1.5234375
16.254004	2.4560546875	2.8076171875
16.255996	3.14453125	2.7685546875
16.257996	1.4501953125	1.533203125
16.259996	2.939453125	3.1640625
16.261996	2.705078125	2.294921875
16.263996	1.5185546875	1.787109375
16.265996	3.2958984375	3.3154296875
16.268004	2.1728515625	1.8408203125
16.27	1.8359375	2.216796875
16.272004	3.388671875	3.1884765625
16.274	1.7236328125	1.5478515625
16.276004	2.3486328125	2.7099609375
16.278	3.203125	2.8564453125
16.280004	1.4599609375	1.5087890625
16.282	2.8662109375	3.1201171875
16.284004	2.7685546875	2.3583984375
16.286	1.484375	1.7333984375
16.288004	3.2568359375	3.3056640625
16.29	2.2412109375	1.8896484375
16.292004	1.8017578125	2.1728515625
16.294	3.3935546875	3.2177734375
16.296004	1.7431640625	1.5625
16.297996	2.314453125	2.685546875
16.299996	3.22265625	2.8759765625
16.301996	1.4697265625	1.5087890625
16.303996	2.8515625	3.1005859375
16.305996	2.7880859375	2.373046875
16.307996	1.4892578125	1.728515625
16.310004	3.26171875	3.310546875
16.312	2.2216796875	1.8701171875
16.314004	1.8212890625	2.197265625
16.316	3.388671875	3.203125
16.318004	1.7236328125	1.552734375
16.32	2.3486328125	2.7197265625
16.322004	3.1884765625	2.8271484375
16.324	1.455078125	1.513671875
16.326004	2.919921875	3.1494140625
16.328	2.724609375	2.3095703125
16.330004	1.5185546875	1.796875
16.332	3.3056640625	3.310546875
16.334004	2.138671875	1.8115234375
16.336	1.9287109375	2.2705078125
16.338004	3.3740234375	3.154296875
16.339996	1.650390625	1.5185546875
16.341996	2.4658203125	2.8125
16.343996	3.1103515625	2.744140625
16.345996	1.4453125	1.5478515625
16.347996	3.017578125	3.2080078125
16.349996	2.5830078125	2.1875
16.351996	1.58203125	1.884765625
16.354004	3.3544921875	3.2958984375
16.356	1.9921875	1.708984375
16.358004	2.0361328125	2.431640625
16.36	3.33984375	3.06640625
16.362004	1.5478515625	1.4990234375
16.364	2.63671875	2.9541015625
16.366004	2.96875	2.5634765625
16.368	1.4453125	1.62109375
16.370004	3.1640625	3.2763671875
16.372	2.3779296875	2.001953125
16.374004	1.71875	2.0654296875
16.376	3.3935546875	3.2568359375
16.378004	1.796875	1.58203125
16.38	2.265625	2.6416015625
16.382004	3.22265625	2.8857421875
16.383996	1.46484375	1.4990234375
16.385996	2.8759765625	3.125
16.387996	2.734375	2.3193359375
16.389996	1.513671875	1.787109375
16.391996	3.30078125	3.3154296875
16.393996	2.109375	1.787109375
16.396004	1.953125	2.333984375
16.398	3.359375	3.125
16.400004	1.591796875	1.494140625
16.402	2.578125	2.9052734375
16.404004	3.0029296875	2.6123046875
16.406	1.4453125	1.6064453125
16.408004	3.14453125	3.271484375
16.41	2.4169921875	2.021484375
16.412004	1.708984375	2.060546875
16.414	3.3935546875	3.26171875
16.416004	1.787109375	1.58203125
16.418	2.2802734375	2.6513671875
16.420004	3.2080078125	2.8662109375
16.422	1.455078125	1.5087890625
16.424004	2.939453125	3.1591796875
16.425996	2.67578125	2.265625
16.427996	1.552734375	1.8310546875
16.429996	3.3447265625	3.3154296875
16.431996	2.01171875	1.728515625
16.433996	2.0458984375	2.4267578125
16.435996	3.330078125	3.046875
16.438004	1.5576171875	1.4892578125
16.44	2.71484375	2.998046875
16.442004	2.8759765625	2.4658203125
16.444	1.4697265625	1.6796875
16.446004	3.251953125	3.3056640625
16.448	2.2216796875	1.8701171875
16.450004	1.8603515625	2.236328125
16.452	3.37890625	3.1689453125
16.454004	1.640625	1.5087890625
16.456	2.51953125	2.861328125
16.458004	3.046875	2.646484375
16.46	1.435546875	1.5869140625
16.462004	3.134765625	3.2666015625
16.464	2.3974609375	2.0166015625
16.466004	1.7236328125	2.0751953125
16.467996	3.3984375	3.251953125
16.469996	1.748046875	1.5625
16.471996	2.3583984375	2.7294921875
16.473996	3.1591796875	2.7978515625
16.475996	1.4453125	1.533203125
16.477996	3.0322265625	3.2177734375
16.479996	2.5439453125	2.1435546875
16.482004	1.640625	1.962890625
16.484	3.3837890625	3.2861328125
16.486004	1.8505859375	1.62109375
16.488	2.236328125	2.6123046875
16.490004	3.22265625	2.890625
16.492	1.4599609375	1.50390625
16.494004	2.94921875	3.1689453125
16.496	2.6416015625	2.2314453125
16.498004	1.5869140625	1.875
16.5	3.3642578125	3.30078125
16.502004	1.923828125	1.66015625
16.504	2.1533203125	2.5341796875
16.506004	3.271484375	2.9541015625
16.508	1.484375	1.4892578125
