Baseline,,Sample,,Sample2,,Sample3,,Sample4,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
499.0496216,-0.0001099496731,499.0496216,1.218879938,499.0496216,0.904440403,499.0496216,0.7743610144,499.0496216,0.6777627468,
497.9879761,-0.0001121753012,497.9879761,1.150446653,497.9879761,0.8523376584,497.9879761,0.7297191024,497.9879761,0.6385387182,
496.9261169,-0.0001791974646,496.9261169,1.082341433,496.9261169,0.8020389676,496.9261169,0.6855618954,496.9261169,0.5998152494,
496.0157471,-7.552868919E-5,496.0157471,1.028452396,496.0157471,0.7618839145,496.0157471,0.6523832083,496.0157471,0.5700478554,
494.9534607,-4.058730337E-5,494.9534607,0.9767342806,494.9534607,0.7211473584,494.9534607,0.6178482771,494.9534607,0.5401138067,
494.0427246,1.858652286E-5,494.0427246,0.9370034933,494.0427246,0.6926231384,494.0427246,0.5924670696,494.0427246,0.5185531974,
492.9799805,4.693379742E-5,492.9799805,0.8931572437,492.9799805,0.6599014997,492.9799805,0.5645342469,492.9799805,0.493050009,
492.0688782,1.348679871E-5,492.0688782,0.8600831628,492.0688782,0.6356196404,492.0688782,0.5438506007,492.0688782,0.4754590094,
491.0057068,-2.531573955E-5,491.0057068,0.8266502023,491.0057068,0.610329628,491.0057068,0.522110045,491.0057068,0.4564110041,
489.9423218,-4.933585296E-5,489.9423218,0.7934095263,489.9423218,0.5861843824,489.9423218,0.5018167496,489.9423218,0.4384005666,
489.0306396,6.554822176E-5,489.0306396,0.7690750957,489.0306396,0.5680461526,489.0306396,0.4860061109,489.0306396,0.4247123897,
487.9668274,-1.729148244E-5,487.9668274,0.7481544018,487.9668274,0.5524861217,487.9668274,0.4724464118,487.9668274,0.4129968584,
487.0547791,-8.821042138E-5,487.0547791,0.7318899632,487.0547791,0.5403881669,487.0547791,0.4619937837,487.0547791,0.4039407969,
485.9905396,-0.0001189556206,485.9905396,0.7113164067,485.9905396,0.5250335336,485.9905396,0.4489807487,485.9905396,0.3923755884,
484.9260559,-5.580656216E-5,484.9260559,0.6939124465,484.9260559,0.5123894215,484.9260559,0.4381237328,484.9260559,0.3830498159,
484.0134583,-0.0001230962225,484.0134583,0.6850986481,484.0134583,0.5057199001,484.0134583,0.4324124455,484.0134583,0.3779136539,
482.9485474,-7.019707118E-5,482.9485474,0.6766806841,482.9485474,0.4992405176,482.9485474,0.4270527065,482.9485474,0.3731799424,
482.0355835,-0.0001472661825,482.0355835,0.6717720032,482.0355835,0.495642513,482.0355835,0.4237844944,482.0355835,0.370467633,
480.9702454,-9.209250857E-5,480.9702454,0.6662630439,480.9702454,0.4919922948,480.9702454,0.4206312001,480.9702454,0.3676001132,
480.0569153,-6.641831715E-5,480.0569153,0.662260592,480.0569153,0.4887543619,480.0569153,0.4179939926,480.0569153,0.3652409911,
478.9911499,-0.0001107778153,478.9911499,0.6571310163,478.9911499,0.4850685298,478.9911499,0.4149344862,478.9911499,0.3627459705,
477.9251709,-0.0001209224065,477.9251709,0.6496748924,477.9251709,0.4799903333,477.9251709,0.410376817,477.9251709,0.3586535752,
477.0112915,-1.527245331E-5,477.0112915,0.6426006556,477.0112915,0.4743847251,477.0112915,0.4058167338,477.0112915,0.3547354043,
475.9449158,-7.438989996E-5,475.9449158,0.6301063895,475.9449158,0.4657331109,475.9449158,0.3978838325,475.9449158,0.3480989933,
475.0306702,2.013975063E-5,475.0306702,0.6150633693,475.0306702,0.4544473588,475.0306702,0.3885085285,475.0306702,0.3395908177,
473.9638672,-0.000144109159,473.9638672,0.5920259953,473.9638672,0.4377373457,473.9638672,0.37433514,473.9638672,0.3267353177,
473.0492554,-2.153659079E-5,473.0492554,0.5706781745,473.0492554,0.4216686785,473.0492554,0.3606328368,473.0492554,0.3152358532,
471.9820251,1.630819042E-6,471.9820251,0.5446021557,471.9820251,0.4020896256,471.9820251,0.3437952101,471.9820251,0.3004608154,
471.0670776,7.463565998E-5,471.0670776,0.5243399739,471.0670776,0.3875417113,471.0670776,0.3312910199,471.0670776,0.2892526388,
469.9994507,-9.799322288E-5,469.9994507,0.4961313605,469.9994507,0.3663198352,469.9994507,0.3132742345,469.9994507,0.2737255692,
468.9315796,-6.543479685E-5,468.9315796,0.4638946056,468.9315796,0.3426588774,468.9315796,0.2927635312,468.9315796,0.2560384274,
468.0160828,-7.904855011E-5,468.0160828,0.4353768528,468.0160828,0.3212823272,468.0160828,0.2747325897,468.0160828,0.2402506918,
466.9478149,-2.086359018E-5,466.9478149,0.4075237811,466.9478149,0.3008975387,466.9478149,0.2572674453,466.9478149,0.2251338959,
466.0319519,-4.866534709E-6,466.0319519,0.3872556686,466.0319519,0.285705626,466.0319519,0.2442421019,466.0319519,0.2136149108,
464.9632874,-8.05496602E-5,464.9632874,0.3632565439,464.9632874,0.268232286,464.9632874,0.2294180542,464.9632874,0.2004452348,
464.0470886,9.048088396E-5,464.0470886,0.3427464962,464.0470886,0.2529625893,464.0470886,0.2160426676,464.0470886,0.1889859438,
462.9779968,-3.929312152E-5,462.9779968,0.3191491365,462.9779968,0.2356322557,462.9779968,0.2013867944,462.9779968,0.1761769503,
462.0614624,3.94520066E-5,462.0614624,0.3031221628,462.0614624,0.2237941921,462.0614624,0.1911960244,462.0614624,0.1672151834,
460.9919434,-0.0001339133451,460.9919434,0.2854339778,460.9919434,0.2108456045,460.9919434,0.1802417636,460.9919434,0.157401666,
460.0750732,4.051343058E-5,460.0750732,0.2744912803,460.0750732,0.2028747648,460.0750732,0.1733461469,460.0750732,0.1516714245,
459.0051575,-8.329306002E-5,459.0051575,0.2599104941,459.0051575,0.191840753,459.0051575,0.1639313102,459.0051575,0.1434206367,
457.9350586,-3.54105614E-5,457.9350586,0.2430673391,457.9350586,0.1794257164,457.9350586,0.1533522457,457.9350586,0.1339139789,
457.0176392,3.546392236E-6,457.0176392,0.2300616503,457.0176392,0.1699634045,457.0176392,0.1452514231,457.0176392,0.1270961016,
455.947113,-6.502068572E-5,455.947113,0.2176594287,455.947113,0.1607824713,455.947113,0.1374821067,455.947113,0.1200628206,
455.0293579,2.252085096E-6,455.0293579,0.2082080692,455.0293579,0.1537006348,455.0293579,0.1314032525,455.0293579,0.1149490476,
453.9584351,-4.208854443E-5,453.9584351,0.1973781586,453.9584351,0.145617336,453.9584351,0.124574177,453.9584351,0.1088219807,
453.0403137,-3.830954302E-5,453.0403137,0.1881687194,453.0403137,0.1388946176,453.0403137,0.1187033281,453.0403137,0.1038284898,
451.9690247,-1.894811612E-5,451.9690247,0.1783685386,451.9690247,0.1317258179,451.9690247,0.1124988571,451.9690247,0.09835954756,
